x,y,yaw,speed
0.0,0.0,1.5708,0.2
0.0,0.5,1.5708,0.2
0.0,1.0,1.5708,0.2
0.0,1.5,1.5708,0.2
0.0,2.0,1.5708,0.2
0.0,2.5,1.5708,0.2
0.0,3.0,1.5708,0.2
0.0,3.5,1.5708,0.2
0.0,3.7,1.5708,0.15
0.0,3.85,1.1781,0.15
0.08,3.92,0.7854,0.15
0.15,3.97,0.3927,0.15
0.3,4.0,0.0,0.15
0.5,4.0,0.0,0.2
1.0,4.0,0.0,0.2
1.5,4.0,0.0,0.2
2.0,4.0,0.0,0.2
2.5,4.0,0.0,0.2
3.0,4.0,0.0,0.2
3.5,4.0,0.0,0.2
3.7,4.0,0.0,0.15
3.85,3.97,-0.3927,0.15
3.92,3.92,-0.7854,0.15
3.97,3.85,-1.1781,0.15
4.0,3.7,-1.5708,0.15
4.0,3.5,-1.5708,0.2
4.0,3.0,-1.5708,0.2
4.0,2.5,-1.5708,0.2
4.0,2.0,-1.5708,0.2
4.0,1.5,-1.5708,0.2
4.0,1.0,-1.5708,0.2
4.0,0.5,-1.5708,0.2
4.0,0.0,-1.5708,0.2
4.0,-0.5,-1.5708,0.2
4.0,-1.0,-1.5708,0.2
4.0,-1.5,-1.5708,0.2
4.0,-2.0,-1.5708,0.2
4.0,-2.5,-1.5708,0.2
4.0,-3.0,-1.5708,0.2
4.0,-3.5,-1.5708,0.2
4.0,-3.7,-1.5708,0.15
3.97,-3.85,-1.9635,0.15
3.92,-3.92,-2.3562,0.15
3.85,-3.97,-2.7489,0.15
3.7,-4.0,3.1416,0.15
3.5,-4.0,3.1416,0.2
3.0,-4.0,3.1416,0.2
2.5,-4.0,3.1416,0.2
2.0,-4.0,3.1416,0.2
1.5,-4.0,3.1416,0.2
1.0,-4.0,3.1416,0.2
0.5,-4.0,3.1416,0.2
0.0,-4.0,3.1416,0.2
-0.5,-4.0,3.1416,0.2
-1.0,-4.0,3.1416,0.2
-1.5,-4.0,3.1416,0.2
-2.0,-4.0,3.1416,0.2
-2.5,-4.0,3.1416,0.2
-3.0,-4.0,3.1416,0.2
-3.5,-4.0,3.1416,0.2
-3.7,-4.0,3.1416,0.15
-3.85,-3.97,2.7489,0.15
-3.92,-3.92,2.3562,0.15
-3.97,-3.85,1.9635,0.15
-4.0,-3.7,1.5708,0.15
-4.0,-3.5,1.5708,0.2
-4.0,-3.0,1.5708,0.2
-4.0,-2.5,1.5708,0.2
-4.0,-2.0,1.5708,0.2
-4.0,-1.5,1.5708,0.2
-4.0,-1.0,1.5708,0.2
-4.0,-0.5,1.5708,0.2
-4.0,0.0,1.5708,0.2
-4.0,0.5,1.5708,0.2
-4.0,1.0,1.5708,0.2
-4.0,1.5,1.5708,0.2
-4.0,2.0,1.5708,0.2
-4.0,2.5,1.5708,0.2
-4.0,3.0,1.5708,0.2
-4.0,3.5,1.5708,0.2
-4.0,3.7,1.5708,0.15
-3.97,3.85,1.1781,0.15
-3.92,3.92,0.7854,0.15
-3.85,3.97,0.3927,0.15
-3.7,4.0,0.0,0.15
-3.5,4.0,0.0,0.2
-3.0,4.0,0.0,0.2
-2.5,4.0,0.0,0.2
-2.0,4.0,0.0,0.2
-1.5,4.0,0.0,0.2
-1.0,4.0,0.0,0.2
-0.5,4.0,0.0,0.2
-0.3,4.0,0.0,0.15
-0.15,3.97,-0.3927,0.15
-0.08,3.92,-0.7854,0.15
0.0,3.85,-1.1781,0.15
0.0,3.7,-1.5708,0.15
0.0,3.5,-1.5708,0.2
0.0,3.0,-1.5708,0.2
0.0,2.5,-1.5708,0.2
0.0,2.0,-1.5708,0.2
0.0,1.5,-1.5708,0.2
0.0,1.0,-1.5708,0.2
0.0,0.5,-1.5708,0.2
0.0,0.0,-1.5708,0.2
