x,y,yaw,speed
0.0,0.0,1.5708,0.2
0.0,2.0,1.5708,0.2
0.0,4.0,0.0,0.2
2.0,4.0,0.0,0.2
4.0,4.0,-1.5708,0.2
4.0,2.0,-1.5708,0.2
4.0,0.0,3.1416,0.2
2.0,0.0,3.1416,0.2
0.0,0.0,3.1416,0.2
-2.0,0.0,3.1416,0.2
-4.0,0.0,-1.5708,0.2
-4.0,-2.0,-1.5708,0.2
-4.0,-4.0,0.0,0.2
-2.0,-4.0,0.0,0.2
2.0,-4.0,0.0,0.2
4.0,-4.0,1.5708,0.2
4.0,-2.0,1.5708,0.2
4.0,0.0,3.1416,0.2
2.0,0.0,3.1416,0.2
0.0,0.0,1.5708,0.2
0.0,2.0,1.5708,0.2
0.0,4.0,3.1416,0.2
-2.0,4.0,3.1416,0.2
-4.0,4.0,-1.5708,0.2
-4.0,2.0,-1.5708,0.2
-4.0,0.0,0.0,0.2
-2.0,0.0,0.0,0.2
0.0,0.0,0.0,0.2
