x,y,yaw,speed
0.0,0.0,0.0,0.2
0.5,0.0,0.0,0.2
1.0,0.0,0.0,0.2
1.5,0.0,0.0,0.2
2.0,0.0,0.0,0.2
2.5,0.0,0.0,0.2
3.0,0.0,0.0,0.2
3.5,0.0,0.0,0.2
4.0,0.0,0.0,0.2
4.5,0.0,0.0,0.2
5.0,0.0,0.0,0.2
5.5,0.0,0.0,0.2
6.0,0.0,0.0,0.2
6.5,0.0,0.0,0.2
7.0,0.0,0.0,0.2
7.5,0.0,0.0,0.2
8.0,0.0,-1.5708,0.2
8.0,-0.5,-1.5708,0.2
8.0,-1.0,-1.5708,0.2
8.0,-1.5,-1.5708,0.2
8.0,-2.0,-1.5708,0.2
8.0,-2.5,-1.5708,0.2
8.0,-3.0,-1.5708,0.2
8.0,-3.5,-1.5708,0.2
8.0,-4.0,3.1416,0.2
7.5,-4.0,3.1416,0.2
7.0,-4.0,3.1416,0.2
6.5,-4.0,3.1416,0.2
6.0,-4.0,3.1416,0.2
5.5,-4.0,3.1416,0.2
5.0,-4.0,3.1416,0.2
4.5,-4.0,3.1416,0.2
4.0,-4.0,1.5708,0.2
4.0,-3.5,1.5708,0.2
4.0,-3.0,1.5708,0.2
4.0,-2.5,1.5708,0.2
4.0,-2.0,1.5708,0.2
4.0,-1.5,1.5708,0.2
4.0,-1.0,1.5708,0.2
4.0,-0.5,1.5708,0.2
4.0,0.0,3.1416,0.2
3.5,0.0,3.1416,0.2
3.0,0.0,3.1416,0.2
2.5,0.0,3.1416,0.2
2.0,0.0,3.1416,0.2
1.5,0.0,3.1416,0.2
1.0,0.0,3.1416,0.2
0.5,0.0,3.1416,0.2
0.0,0.0,3.1416,0.2
